Y1,Y2,Y3,O1,R1,R2,R3,B1,B2,B3,B4,B5,Bk,Col_Reten
0.0,0.0,2.01,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,248.864
0.34,0.0,0.0,0.23,0.84,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,243.79
0.0,0.0,1.55,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.35,0.0,0.0,249.666
0.0,0.85,0.0,0.4,0.9,0.0,0.0,0.0,0.0,0.0,0.21,0.09,0.0,246.917
0.0,0.0,1.278,0.0,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,249.911
0.0,0.0,1.1,0.13,0.0,0.16,0.0,0.0,0.0,0.0,0.024,0.0,0.23,249.718
0.0,0.0,0.0,0.402,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.269,250.555
0.0,0.0,1.277,0.0,0.567,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.243,247.475
0.0,0.0,0.0,0.457,0.0,0.0,0.06,0.133,0.0,0.0,0.0,0.0,0.0,249.784
0.0,0.0,1.189,0.083,0.624,0.0,0.0,0.0,0.499,0,0.0,0.0,0.0,249.542
0.0,0.0,0.82,0.26,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.23,251.337
0.0,0.75,0.0,0.0,0.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,247.127
